"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin7","fin8","fin9a","fin9b","fin10","fin11_0","fin11_1","fin11_2","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin13_1","fin13a","fin13b","fin13c","fin13d","fin13e","fin13f","fin13f_1","fin14a","fin14b","fin14c","fin14d","fin14e","fin15","fin16","fin17a","fin17b","fin17c","fin17d","fin17e","fin17f","fin18","fin19","fin20","fin21","fin22a","fin22a_1","fin22b","fin22c","fin22d","fin22e","fin22f","fin22g","fin22h","fin23","fin24","fin24a","fin24b","fin24c","fin24d1","fin24d2","fin24d3","fin25e1","fin25e2","fin25e3","fin25e4","fin26a","fin26b","fin27","fh1","fin28","fh2","fin29","fh2a","fin30","fin31a","fin31b","fin31c","fin31d","fin32","fin33","fin34a","fin34b","fin34c","fin34d","fin35","fin36","fin36a","fin37","fin38","fin39a","fin39b","fin39c","fin39d","fin40","fin41","fin41a","fin42","fin43a","fin43b","fin43c","fin43d","fin44","fin45","internet_use","con1","con2a","con2b","con2c","con2d","con2e","con2f","con2g","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30a","con30b","con30c","con30d","con30e","con30f","con30g","con30h","con31a","con31b","con31c","con31d","con31e","con31f","con31g","con31h","con32","fin46","fin47","fin48a","fin48b","fin48c","fin48d","fin48e","fin48f","fin49a","fin49b","fin49c","fin49d","fin49e","fin49f","fin50","fin51"
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112543453,0.882829521765659,1,57,2,5,1,2,1,0,1,0,0,1,1,4,4,4,0,4,1,1,1,2,1,2,3,,1,2,1,2,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,,1,,,,,2,2,,2,,2,2,2,2,2,,,2,1,3,3,1,1,2,2,2,2,,4,2,2,,2,,1,1,1,2,,,,,1,1,1,2,,,2,2,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,4,1,1,2,2,,2,1,,1,2,,1,2,2,2,1,1,2,1,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112552528,0.285080425069735,1,20,2,5,1,2,0,1,1,1,0,0,4,4,4,4,0,4,3,1,2,,,,,,,,,,,,,,,,,,,1,2,2,1,1,2,2,,,,,,,,,2,2,2,,,,2,2,2,,2,2,2,,2,2,2,,,2,1,3,4,2,,,,2,2,,2,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,4,1,1,2,2,,2,1,,1,1,1,,2,1,1,2,2,2,2,1,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112600049,0.624760345804823,1,16,1,4,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,1,5,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,2,2,2,2,2,2,2,2,,2,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,2,2,2,2,2,2,2,2,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112615893,1.13383841654215,2,45,1,5,1,1,0,0,0,0,1,0,5,5,4,3,0,4,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,3,3,3,2,,2,,,,3,3,2,,3,,3,,3,1,3,,,3,2,2,3,1,1,2,,,,,,,,,2,,3,,3,2,,,,,3,,,,,,,,,3,2,,,,,,,,1,2,2,2,2,2,3,0,2,1,2,1,2,2,2,2,3,2,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112753676,0.708084094961859,2,31,1,5,1,2,0,0,0,0,1,1,2,4,4,4,0,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,,1,,,,,2,2,,2,,1,1,2,2,2,,,,3,2,2,2,,,,,,,,,,,2,,1,1,1,1,2,2,,1,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,3,,1,1,1,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112797359,2.49804205265329,1,65,1,1,2,2,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,2,1,1,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,2,1,2,2,2,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112815863,2.49804205265329,1,40,1,2,2,2,1,0,1,0,0,1,4,4,4,4,0,3,3,0,2,2,2,3,3,1,1,2,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,,2,,,,1,2,2,,2,,2,,2,2,2,,,2,1,1,4,2,,,,2,2,,1,2,2,,2,,2,,2,1,2,2,,2,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,1,1,,2,,,4,2,,2,2,,2,1,,2,1,1,,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112829615,0.789765688712974,1,15,2,4,2,2,0,1,1,1,1,1,4,4,4,4,1,4,1,1,2,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,2,,,,,,,,2,1,1,2,2,2,,2,2,,2,2,2,2,1,1,2,,,2,2,2,1,2,,,,2,1,1,,2,1,1,2,,1,1,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,1,2,,1,1,,2,1,2,,1,1,1,1,1,2,1,1,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,112979706,0.580722541204279,2,32,1,4,2,1,0,0,0,0,1,0,4,4,3,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,3,2,2,,2,,,,2,2,2,,2,,1,,1,1,2,,,,2,2,2,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,1,2,2,2,2,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,2,,2,1,2,1,1,,1,1,2,,1,1,1,2,1,2,2,2,,,,,,,,,,2,,2,2,1,2,2,2,2,2,2,2,2,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113036871,2.49804205265329,1,22,1,1,1,2,1,1,1,1,0,1,1,4,4,4,0,1,2,1,1,1,1,3,2,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,1,2,,2,,2,2,2,2,2,2,,2,7,,4,1,2,2,2,2,2,,1,2,2,,2,,1,2,2,1,1,2,,,1,2,1,1,,,2,4,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,2,,,2,2,,2,2,,2,1,,2,1,2,,1,1,2,2,2,2,2,2,,,,,,,,,,2,,1,1,1,2,1,2,2,1,2,1,1,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113079348,0.435131498662542,2,35,2,5,1,1,1,0,1,0,1,1,4,1,4,4,0,1,1,1,2,2,1,1,2,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,,2,2,,2,2,1,2,2,1,1,,,,1,3,2,1,1,1,2,2,2,,4,2,2,,1,1,1,1,1,1,1,1,,,2,,,,,,,,,1,2,2,2,2,1,2,2,,2,,,,,,1,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,1,2,,2,1,,1,1,1,,1,1,1,1,2,2,2,1,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113256257,1.73033922291268,1,18,2,4,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,1,1,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,2,1,3,1,1,,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113285267,2.49804205265329,2,30,1,3,1,1,0,0,0,0,1,1,4,4,4,2,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,1,2,2,,2,,1,,2,2,2,,,,2,2,2,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,1,2,2,1,,2,3,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113320314,1.76013087546758,1,31,3,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,2,2,,,,,,,,,,,2,,2,,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,8,,,4,2,,2,2,,2,1,,1,1,8,,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113674475,0.452605082263091,1,32,2,4,2,2,1,0,1,0,0,0,4,4,4,4,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,2,2,2,,2,,,,2,1,2,,2,,2,,2,2,2,,,2,2,3,4,2,,,,,,,,,,,1,1,2,,1,1,1,2,1,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,6,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,1,1,,3,2,,1,1,2,1,1,1,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113735728,1.78589154952736,1,27,1,5,2,1,0,0,0,0,0,1,4,4,4,4,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,,1,,,,,2,2,,2,,2,2,2,2,2,,,2,3,2,2,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,2,1,1,1,,1,,2,2,2,,2,2,,1,2,1,2,2,,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,8,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113828824,0.507104969412134,2,34,2,4,1,2,0,0,0,0,0,1,4,4,4,4,0,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,1,2,2,,2,,2,,2,2,2,,,2,2,1,4,2,,,,,,,,,,,2,,1,1,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,2,1,,1,1,1,,1,1,1,2,1,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113895545,0.567024123894347,2,24,2,4,1,1,1,0,1,0,0,0,1,4,4,4,0,4,3,1,2,2,1,5,5,1,2,1,2,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,3,2,2,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,1,2,1,2,,,2,1,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,2,,1,1,1,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,113925648,1.4256094184975,1,15,2,5,2,2,0,0,0,0,1,1,4,3,4,4,0,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,2,2,,1,,,,,2,2,,2,,1,2,2,1,2,,,,2,1,4,2,,,,,,,,,,,2,,1,3,2,2,,,,,2,,,,,,,,,1,2,2,2,2,2,,,,2,,,,,,5,0,2,1,1,2,2,2,2,2,1,2,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,2,2,2,2,2,2,2,2,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114165313,0.361372968079238,2,27,2,5,1,1,0,0,0,0,1,0,4,4,4,2,0,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,2,,2,,,,2,1,2,,2,,1,,1,1,1,,,,2,1,3,1,1,1,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,1,2,2,1,,1,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114177662,0.492432052729327,2,25,2,5,1,1,1,0,1,0,0,0,1,4,4,4,0,4,2,1,2,2,1,2,2,,3,1,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,1,3,3,2,,,,2,2,,4,2,2,,1,2,2,,1,2,,,,,1,2,1,2,,,2,2,,2,2,,,,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,2,,2,1,1,1,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114245922,1.79950597656666,2,20,2,2,2,2,1,1,1,1,1,0,4,4,4,4,0,4,3,1,1,1,1,3,3,2,1,1,2,2,,,,,,,,,,,1,1,1,1,2,2,,,,,,,,,2,2,2,,,,2,2,2,,2,1,1,,1,2,2,,,,2,2,2,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,0,2,1,2,2,2,2,1,2,1,2,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114374044,1.56077783137885,2,50,1,3,1,1,0,0,0,0,1,1,4,4,4,2,0,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,,2,,,,1,2,2,,2,,2,,2,2,1,,,2,3,1,2,2,,,,,,,,,,,2,,2,,1,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,1,2,2,1,,2,4,0,1,,,,,,,,,,,,,,2,2,1,2,,1,,2,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114539187,1.51178455538953,2,50,1,2,1,1,0,0,0,0,1,0,4,4,4,4,0,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,2,2,2,,2,2,1,,1,2,2,,,,3,3,1,2,,,,2,2,,4,1,2,,2,,1,2,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,2,,,2,1,2,2,2,,2,1,,2,1,2,,1,1,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114665714,0.485978151999498,1,15,1,3,2,2,1,0,1,0,1,1,4,4,4,2,0,4,2,0,2,2,2,5,5,1,1,2,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,,2,4,1,2,,2,2,,2,,1,,2,2,1,,,,1,1,5,2,,,,2,2,,1,2,2,,2,,1,2,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,1,2,2,1,,2,5,1,2,2,2,2,2,2,2,2,,2,,,,2,,,,,,,,,,,,,,,,1,,8,2,,1,1,1,1,2,2,2,2,2,,,,,,,,,,2,,2,2,2,2,2,2,2,2,1,1,2,2,,
2024,"Gambia, The","GMB","Sub-Saharan Africa (excluding high income)",1598990,114739661,2.49804205265329,2,26,2,1,1,2,0,1,1,1,0,1,1,4,4,4,1,1,1,1,2,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,2,,,,,,,,,1,1,2,1,1,2,,2,2,,2,2,2,,2,2,2,,,2,1,2,1,2,,,,1,1,1,,1,1,1,1,1,1,2,2,1,2,1,,,1,2,2,1,,,2,2,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,2,1,,1,1,1,,1,1,1,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
